"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12213","Flight Ha Noi → Barcelona","chromium","2026-02-19","passed","2026-02-19","Flight Search - Data Driven","specs/flight-search.spec.ts","",""
"","12475","Flight Ho Chi Minh → Valencia","chromium","2026-02-19","passed","2026-02-19","Flight Search - Data Driven","specs/flight-search.spec.ts","",""
